,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,,4,4,4,4,4,3,3,3,3,3,3,3,3,3
2,4,,4,4,4,4,3,3,3,3,3,3,3,3,3
3,4,4,,4,4,4,3,3,3,3,3,3,3,3,3
4,4,4,4,,4,4,3,3,3,3,3,3,3,3,3
5,4,4,4,4,,4,3,3,3,3,3,3,3,3,3
6,4,4,4,4,4,,3,3,3,3,3,3,3,3,3
7,3,3,3,3,3,3,,4,4,4,4,3,3,3,3
8,3,3,3,3,3,3,4,,4,4,4,3,3,3,3
9,3,3,3,3,3,3,4,4,,4,4,3,3,3,3
10,3,3,3,3,3,3,4,4,4,,4,3,3,3,3
11,3,3,3,3,3,3,4,4,4,4,,3,3,3,3
12,3,3,3,3,3,3,3,3,3,3,3,,4,4,4
13,3,3,3,3,3,3,3,3,3,3,3,4,,4,4
14,3,3,3,3,3,3,3,3,3,3,3,4,4,,4
15,3,3,3,3,3,3,3,3,3,3,3,4,4,4,
