,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,,5,5,5,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3
2,5,,5,4,4,4,4,4,4,3,3,3,1,3,2,1,1,2,2,3,3
3,4,5,,5,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1
4,,4,3,,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,4,4,5,,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2
6,4,4,4,4,5,,5,4,4,1,3,3,3,3,3,3,3,3,3,3,3
7,4,4,4,4,4,5,,5,4,2,3,3,3,3,3,3,3,3,3,3,3
8,3,3,3,3,3,3,5,,5,3,3,3,3,3,3,3,3,3,3,3,3
9,5,4,4,3,3,3,3,5,,1,3,3,3,3,3,3,3,3,3,3,3
10,3,3,3,3,3,3,3,3,3,,5,4,4,4,4,4,4,5,3,3,3
11,3,3,3,3,3,3,3,3,3,5,,5,4,4,4,4,4,5,3,3,3
12,3,3,3,3,3,3,3,3,3,4,5,,5,4,4,4,4,4,3,3,3
13,3,3,3,3,3,3,3,3,3,4,4,5,,5,4,4,4,4,3,3,3
14,3,3,3,3,3,3,3,3,3,4,4,4,5,,5,4,4,4,3,3,3
15,3,3,3,3,3,3,3,3,3,4,4,4,4,5,,5,4,4,3,3,3
16,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,,5,4,3,3,3
17,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,,5,3,3,3
18,3,3,3,3,3,3,3,3,3,5,4,4,4,4,4,4,5,,3,3,3
19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,5,5
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,,5
21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5
